area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
35000,1,72,1990,1,7,493,498,473,,929514,0,0,147
35000,1,72,1990,2,7,485,481,468,,968236,0,0,156
35000,1,72,1990,3,7,510,516,518,,995511,0,0,149
35000,1,72,1990,4,7,510,514,532,,1080090,0,0,160
35000,5,72,1990,1,2636,51248,51266,52414,,93644096,0,0,139
35000,5,72,1990,2,2656,54240,56092,57818,,102820800,0,0,141
35000,5,72,1990,3,2633,57065,58021,56606,,110015699,0,0,148
35000,5,72,1990,4,2649,54591,53890,53215,,106766591,0,0,152
35001,1,72,1990,1,2,275,270,258,,524664,0,0,151
35001,1,72,1990,2,2,269,248,239,,505970,0,0,154
35001,1,72,1990,3,2,277,285,282,,549421,0,0,150
35001,1,72,1990,4,2,272,272,274,,581300,0,0,164
35001,5,72,1990,1,712,21091,21276,21747,,41111982,0,0,148
35001,5,72,1990,2,713,22671,23535,23712,,44239201,0,0,146
35001,5,72,1990,3,709,23328,23930,23570,,46054495,0,0,150
35001,5,72,1990,4,720,23145,22759,22337,,46405513,0,0,157
35005,5,72,1990,1,82,1740,1732,1793,,2914083,0,0,128
35005,5,72,1990,2,90,1867,1866,1829,,3185736,0,0,132
35005,5,72,1990,3,90,1881,1936,1870,,3250038,0,0,132
35005,5,72,1990,4,90,1805,1737,1735,,3115070,0,0,136
35007,5,72,1990,1,57,776,755,811,,1667565,0,0,164
35007,5,72,1990,2,59,777,705,794,,1598955,0,0,162
35007,5,72,1990,3,60,900,865,737,,1867808,0,0,172
35007,5,72,1990,4,57,688,690,730,,1465105,0,0,160
35009,1,72,1990,1,2,96,97,89,,152668,0,0,125
35009,1,72,1990,2,2,92,107,108,,201805,0,0,152
35009,1,72,1990,3,2,109,111,112,,186415,0,0,130
35009,1,72,1990,4,2,105,107,120,,211222,0,0,147
35009,5,72,1990,1,69,1010,1017,1084,,1685082,0,0,125
35009,5,72,1990,2,64,1089,1115,1143,,1936427,0,0,134
35009,5,72,1990,3,61,1104,1078,1074,,1849482,0,0,131
35009,5,72,1990,4,60,1032,1061,1028,,1877867,0,0,139
35013,1,72,1990,1,2,65,71,69,,137006,0,0,154
35013,1,72,1990,2,2,68,68,71,,114761,0,0,128
35013,1,72,1990,3,2,67,64,65,,128844,0,0,152
35013,1,72,1990,4,2,66,64,65,,109321,0,0,129
35013,5,72,1990,1,168,3898,3863,3907,,6190915,0,0,122
35013,5,72,1990,2,167,3986,3959,3950,,6524987,0,0,127
35013,5,72,1990,3,166,3674,3810,3814,,6459041,0,0,132
35013,5,72,1990,4,166,3740,3693,3693,,6168748,0,0,128
35015,5,72,1990,1,89,1183,1162,1212,,1815234,0,0,118
35015,5,72,1990,2,86,1301,1364,1397,,2076242,0,0,118
35015,5,72,1990,3,82,1383,1410,1346,,2299726,0,0,128
35015,5,72,1990,4,82,1273,1257,1241,,2054246,0,0,126
35017,5,72,1990,1,57,771,779,777,,1144643,0,0,114
35017,5,72,1990,2,60,780,819,886,,1219667,0,0,113
35017,5,72,1990,3,60,879,834,791,,1349985,0,0,124
